SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
Aditya Birla SL International Equity Plan A Reg (G),Aditya Birla Sun Life Mutual Fund,274,31-10-2007,-1.05,-2.39,-2.78,-0.11,1.53,13.46,27.83,21.58,14.81,10.97,11.46,10.55,11.07,,,8.61,0,Equity: Global,44.4481,,,16.88,12.29,0.86,1.48,Dhaval Joshi,,,,1000,1000,97.5,0,0,5.28,31.22,1% for redemption within 30 days,0,2.5,0,97.5,0,,2.55,,,,,,2.5,10.7842,47.0907
Aditya Birla SL Large & Mid Cap Fund Reg (G),Aditya Birla Sun Life Mutual Fund,5867,24-02-1995,0.54,0.58,0.29,0.68,4.31,4.71,8.06,14.51,14.56,15.23,13.28,12.57,11.75,12.7,12.88,16.68,1,Equity: Large & Mid Cap,922.19,-1.34,1.03,14.38,13.96,0.58,0.78,Vishal Gajwani,,,,1000,100,48.28,39.95,10.42,4.47,0,1% for redemption within 90 days,98.65,1.35,0,0,0,,1.9,,,,,,0.83,14.018,44.9256
Aditya Birla SL Large Cap Fund Reg (G),Aditya Birla Sun Life Mutual Fund,30001,30-08-2002,0.47,1.44,1.04,1.18,4.89,4.76,10.21,17.44,15.4,17.54,14.47,13.31,12.46,15.26,,19.22,4,Equity: Large Cap,546.3,0.58,0.96,15.11,11.87,0.75,1.18,Mahesh Patil,,,,100,100,84.05,4.25,8.97,3.61,23,1% for redemption within 90 days,97.27,2.73,0,0,0,,1.63,0.74,,,,,1.93,11.7767,45.3315
Aditya Birla SL Liquid Fund Reg (G),Aditya Birla Sun Life Mutual Fund,56938,29-03-2004,0.02,0.11,0.24,0.47,1.44,2.98,6.64,7,7,5.71,5.73,6.18,7.15,7.12,,6.88,4,Debt: Liquid,429.9913,1.18,0.38,6.8,0.18,3.04,4.28,Kaustubh Gupta,0.12,0.12,6.13,500,100,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.35,18.46,,,86.3,,-4.76,0.0676,0.4583
Aditya Birla SL Long Duration Fund Reg (G),Aditya Birla Sun Life Mutual Fund,159,08-08-2022,-0.06,-0.18,-0.15,-0.82,0.44,-1.44,5.13,7.76,7.44,,,,,,,7.69,0,Debt: Long Duration,12.7948,13.88,7.21,7.78,3.46,0.44,0.61,Bhupesh Bameta,23.62,9.9,7.31,100,500,0,0,0,0,0,0,0,100,0,0,0,,1.09,73.49,,,24.17,,2.34,,
Aditya Birla SL Low Duration Fund (G),Aditya Birla Sun Life Mutual Fund,14920,14-05-1998,0.03,0.16,0.34,0.56,1.59,3.17,7.29,7.16,7,5.71,6.44,6.66,7.35,7.16,6.97,7.17,1,Debt: Low Duration,672.9435,2.29,1.03,6.79,0.4,1.33,2.44,Kaustubh Gupta,1.17,0.99,6.79,100,100,0,0,0,0,0,0,0,100,0,0,0,,1.24,11.72,,12.89,72.41,,2.98,0.6221,15.8402
Aditya Birla SL Manufacturing Equity Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1070,31-01-2015,0.27,1.11,0.18,1.69,7.82,8.38,7.2,20.54,19.59,18.47,14.34,13.16,,,,11.83,0,Equity: Thematic,33.64,0.7,0.95,18.94,15.52,0.82,1.22,Harish Krishnan,,,,1000,100,39.64,27.47,31.73,3.85,31.45,1% for redemption within 90 days,98.84,1.16,0,0,0,,2.27,,,,,,1.16,13.3214,41.8133
Aditya Birla SL Medium Term Plan Reg (G),Aditya Birla Sun Life Mutual Fund,2807,25-03-2009,0.01,0.08,0.34,0.46,1.93,3.49,11.53,10.86,9.48,12.47,8.99,8.52,9.2,,,8.85,1,Debt: Medium Duration,41.0429,2.65,0.47,9.23,1.71,1.73,3.74,Mohit Sharma,4.91,3.83,7.58,1000,1000,0,0,0,0,0,"For units in excess of 15% of the investment, 2% will be charged for redemption within 365 daysFor units in excess of 15% of the investment, 1% will be charged for redemption after 366 days and within 730 days",0,95.67,0,0,4.33,,1.57,27.87,13.5,29.21,21.94,,3.15,7.5025,32.9201
Aditya Birla SL Mid Cap Fund Plan Reg (G),Aditya Birla Sun Life Mutual Fund,6008,03-10-2002,0.88,1.42,0.79,2.15,4.41,6.2,7.29,18.31,20.79,23.44,16.36,14.16,13.28,15.79,,20.93,2,Equity: Mid Cap,807.63,-2.09,0.94,19.41,15.53,0.85,1.36,Vishal Gajwani,,,,1000,100,8.8,67.05,22.4,4.65,34.57,1% for redemption within 90 days,98.26,1.74,0,0,0,,1.87,,,,,,1.16,13.9144,42.0839
Aditya Birla SL MNC Fund Reg (G),Aditya Birla Sun Life Mutual Fund,3682,22-04-1994,0.59,0.29,-1.47,-1.53,1.15,4.89,2.11,11.82,13.3,11.37,9.49,9.03,12.98,14.66,16.64,19.94,0,Equity: Thematic,1360.59,-1.32,0.9,13.62,13.72,0.54,0.83,Chanchal Khandelwal,,,,1000,100,23.07,35.58,40.61,7.11,42.34,1% for redemption within 90 days,98.67,0.74,0,0.59,0,,2,,,,,,0.54,11.0028,44.1137
Aditya Birla SL Money Manager Fund Reg (G),Aditya Birla Sun Life Mutual Fund,29882,10-10-2005,0.05,0.12,0.29,0.51,1.56,3.33,7.61,7.64,7.57,6.19,6.61,6.84,7.6,6.87,,6.86,4,Debt: Money Market,379.5559,2.49,0.82,7.35,0.31,3.52,7.14,Anuj Jain,0.44,0.44,6.35,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.36,13.63,,,86.5,,-0.13,0.4987,4.3767
Aditya Birla SL Multi Asset Allocation Fund Reg (G),Aditya Birla Sun Life Mutual Fund,4693,31-01-2023,0.03,1.29,1.15,-0.4,7.64,9.15,17.17,18.83,,,,,,,,17.87,0,Hybrid: Multi-Asset,15.838,,,,,,,Dhaval Gala,1.37,1.22,6.45,500,100,46.5,12.35,7.33,3.69,25.05,"For units in excess of 30% of the investment, 1% will be charged for redemption within 1 year",65.29,14.34,8.65,0.89,10.83,,1.79,0.6,,,5.67,5.34,2.41,,
Aditya Birla SL Multi Asset Passive FOF Reg (G),Aditya Birla Sun Life Mutual Fund,20,14-10-2022,-0.09,1.05,1.06,-1.33,7.84,8.2,12.86,18.99,17.96,,,,,,,17.62,2,Hybrid: Multi-Asset,16.662,2.84,0.92,16.87,8.55,1.24,1.88,Vinod Bhat,,,,100,100,48.97,14.61,0.81,0,0,0.5% for redemption within 15 days,64.39,17.47,12.77,0,5.37,,0.61,,,,,16.87,0.6,,
Aditya Birla SL Multi Cap Fund Reg (G),Aditya Birla Sun Life Mutual Fund,6748,07-05-2021,0.65,1.2,0.6,1.25,5.04,6.48,7.22,17.64,17.49,,,,,,,16.58,2,Equity: Multi Cap,20.2,-0.92,0.9,16.74,13.54,0.77,1,Abhinav Khandelwal,,,,500,100,42.25,26.54,28.5,3.93,26.67,1% for redemption within 90 days,97.29,2.71,0,0,0,,1.81,,,,,,2.13,,
Aditya Birla SL Multi-Asset Omni FOF (G),Aditya Birla Sun Life Mutual Fund,244,17-08-2006,0.01,1.18,1.27,-1.34,7.86,8.72,15.68,19.25,17.67,15.8,14.51,12.9,10.19,,,10.32,3,Hybrid: Multi-Asset,71.3036,2.68,0.89,16.53,8.18,1.25,2.07,Vinod Bhat,,,,1000,100,37.28,15.26,11.68,0,0,1% for redemption within 365 days,64.22,17.5,11.09,0,7.19,,1.2,,,,,16.87,0.63,10.9769,45.0413
Aditya Birla SL Nifty 50 Equal Weight Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,411,08-06-2021,0.34,1.8,0.96,1.1,6.57,6.25,12.42,17.15,16.76,,,,,,,14.83,4,Equity: Index,18.638,1.38,1.02,16.43,12.97,0.78,1.11,Priya Sridhar,,,,500,100,99.19,0,0.75,3.54,23.24,0,99.94,0.06,0,0,0,,1.02,,,,,,0.06,,
Aditya Birla SL Nifty 50 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1152,18-09-2002,0.4,1.7,1.15,1.26,5.66,4.66,11.35,15.58,13.02,15.74,14.09,13.09,10.41,12.11,,15.17,3,Equity: Index,263.6611,-1.21,0.95,13.2,11.68,0.59,0.99,Priya Sridhar,,,,1000,100,99.52,0,0.46,3.54,23.24,0,99.98,0.02,0,0,0,,0.47,,,,,,0.02,11.9046,46.9553
Aditya Birla SL Nifty India Defence Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,722,30-08-2024,0.03,2.67,1.88,1.97,5.99,-0.72,35.65,,,,,,,,,13.5,0,Equity: Index,11.7501,,,,,,,Priya Sridhar,,,,500,500,59.22,22.16,18.62,11.13,51.83,0.05% for redemption within 30 days,100,0,0,0,0,,1.06,,,,,,,,
Aditya Birla SL Nifty Midcap 150 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,386,01-04-2021,0.67,1.6,1.99,3.2,6.81,7.14,11.23,19.77,23.7,,,,,,,21.28,3,Equity: Index,24.6632,-0.64,0.99,21.72,15.76,0.98,1.38,Priya Sridhar,,,,500,100,4,92.82,3.05,3.98,31.85,0.25% for redemption within 15 days,99.87,0.13,0,0,0,,1.01,,,,,,0.13,,
Aditya Birla SL Nifty Next 50 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,210,18-02-2022,0.52,0.73,0.43,1.13,5.37,4.7,3.79,21.83,17.31,,,,,,,14.93,1,Equity: Index,16.9641,0.02,1.32,17.66,17.81,0.64,0.88,Priya Sridhar,,,,100,100,90.67,6.63,2.7,3.74,21.83,0,100,0,0,0,0,,0.88,,,,,,,,
Aditya Birla SL Nifty SDL Apr 2027 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,3699,28-01-2022,0.04,0.12,0.26,0.45,1.44,3.07,7.51,7.86,7.4,,,,,,,6.19,0,Debt: Medium to Long Duration,12.5962,6.1,2.92,7.35,1.02,1.05,1.65,Bhupesh Bameta,1.09,1.05,5.93,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.51,96.91,,,,,3.09,,
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,8435,24-09-2021,0.05,0.11,0.27,0.47,1.47,3.16,7.52,7.72,7.36,,,,,,,5.76,0,Debt: Medium Duration,12.6365,4.97,2.32,7.26,0.8,1.25,1.91,Mohit Sharma,0.72,0.7,6.09,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.35,59.51,,,38.65,,1.84,,
Aditya Birla SL Nifty SDL Sep 2025 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,35,28-09-2022,0,0,0.01,0.24,1.06,2.55,5.79,6.91,6.99,,,,,,,6.9,0,Debt: Short Duration,12.2352,,,,,,,Bhupesh Bameta,0.06,0.05,5.49,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.34,,,,,,100,,
Aditya Birla SL Nifty SDL Sep 2027 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,32,10-03-2023,0.06,0.11,0.25,0.49,1.47,3.02,8.05,8.24,,,,,,,,8.04,0,Debt: Medium to Long Duration,12.325,,,,,,,Harshil Suvarnkar,1.77,1.7,6.07,500,500,0,0,0,0,0,0,0,100,0,0,0,,0.5,96.86,,,,,3.14,,
Aditya Birla SL Nifty Smallcap 50 Index Fund Reg (G),Aditya Birla Sun Life Mutual Fund,248,01-04-2021,0.63,1.43,0.62,2.21,4.55,5.93,4.18,16.67,26.48,,,,,,,17.38,3,Equity: Index,21.1639,2.59,1.04,25.34,20.25,0.94,1.54,Priya Sridhar,,,,500,100,0,20.91,79.04,3.76,32.83,0.25% for redemption within 15 days,99.95,0.05,0,0,0,,1.01,,,,,,0.05,,
Aditya Birla SL Overnight Fund Reg (G),Aditya Birla Sun Life Mutual Fund,9329,01-11-2018,0.01,0.1,0.21,0.43,1.33,2.68,5.87,6.24,6.33,5.25,5.07,,,,,5.08,3,Debt: Overnight,1418.0298,0.12,0.13,6.16,0.14,-0.75,-1.02,Kaustubh Gupta,0.01,0.01,5.57,0,0,0,0,0,0,0,0,0,100,0,0,0,,0.19,2.9,,,,,97.1,,
Aditya Birla SL Pharma & Healthcare Fund (G),Aditya Birla Sun Life Mutual Fund,830,11-07-2019,0.29,1.06,1.58,0.77,-0.38,5.85,4.65,19.23,21.82,15.89,,,,,,19.57,2,Equity: Sectoral,31.49,-1.95,0.96,20.15,16.01,0.87,1.53,Dhaval Shah,,,,0,100,42.08,23.76,30.9,5.64,39.39,1% for redemption within 30 days,96.74,3.26,0,0,0,,2.31,,,,,,3.26,,
Aditya Birla SL PSU Equity Fund Reg (G),Aditya Birla Sun Life Mutual Fund,5533,30-12-2019,0.52,1.63,1.45,4.98,9.55,6.61,9.04,24.57,28.07,31.8,,,,,,23.44,0,Equity: Thematic,34.98,-2.71,0.95,27.58,21.45,0.99,1.78,Dhaval Gala,,,,0,100,73.25,17.66,8,1.65,11.15,1% for redemption within 30 days,98.91,1.09,0,0,0,,1.79,,,,,,0.58,,
Aditya Birla SL Quant Fund Reg (G),Aditya Birla Sun Life Mutual Fund,2381,28-06-2024,0.7,1.52,1.94,2.25,7.53,8.11,8.46,,,,,,,,,,0,Equity: Thematic,10,,,,,,,Harish Krishnan,,,,500,500,58.07,41.11,0.65,3.77,25.64,0.5% for redemption within 90 days,99.82,0.18,0,0,0,,1.99,,,,,,0.08,,
Aditya Birla SL Regular Savings Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1547,22-05-2004,0.13,0.35,0.28,0.36,2.36,3.62,8.54,10.36,9.2,10.28,8.95,8.79,9.37,9.19,,9.4,4,Hybrid: Conservative,68.6107,0.24,0.76,8.98,3.03,0.9,1.64,Harshil Suvarnkar,7.61,4.47,7.4,500,100,14.78,3.52,3.01,3.88,27.75,1% for redemption within 90 days,21.31,77.15,0,0,1.54,,1.83,20.51,1.64,17.06,34.66,,3.28,5.437,44.2149
Aditya Birla SL Retirement Fund 30s Plan (G),Aditya Birla Sun Life Mutual Fund,411,11-03-2019,0.55,1.35,1.32,1.99,5.11,7.87,10.81,18.13,15.4,13.94,,,,,,11.45,2,Solution: Retirement Equity,20.784,-0.5,0.95,15,13.19,0.66,0.98,Jonas Bhutta,,,,0,500,45.2,19.29,31.25,3.79,27.24,0,95.74,4.26,0,0,0,,2.41,0.24,,,,,4.02,,
Aditya Birla SL Retirement Fund 40s Plan (G),Aditya Birla Sun Life Mutual Fund,113,11-03-2019,0.46,0.63,-0.21,0.06,4.31,4.08,9.73,15.03,13.38,11.96,,,,,,10.29,2,Solution: Retirement Equity,19.37,-0.04,0.87,13.33,10.07,0.7,1.06,Chanchal Khandelwal,7.68,4.01,6.26,0,500,52.49,13.35,15.84,3.49,23.59,0,81.68,18.32,0,0,0,,2.38,13.36,,,0.89,,4.07,,
Aditya Birla SL Retirement Fund 50s Plan (G),Aditya Birla Sun Life Mutual Fund,27,11-03-2019,0.17,0.2,0.31,0.39,2.35,3.11,6.99,8.9,8.38,5.72,,,,,,6.03,2,Solution: Retirement Debt,14.8488,-0.8,0.87,8.29,3.43,0.59,0.93,Mohit Sharma,3.29,2.6,6.14,0,500,17.1,3.95,4.44,3.7,25.46,0,25.49,74.51,0,0,0,,1.93,56.69,,,7.84,,9.98,,
Aditya Birla SL Retirement Fund 50s Plus Debt Plan (G),Aditya Birla Sun Life Mutual Fund,17,11-03-2019,0.05,0,0.11,0.03,0.87,1.26,5.31,5.74,5.4,3.82,,,,,,4.35,1,Solution: Retirement Debt,13.3298,4.3,2.94,5.52,1.14,-0.65,-1,Harshil Suvarnkar,6.14,3.36,6.26,0,500,0,0,0,0,0,0,0,100,0,0,0,,2.07,85.11,,,6.24,,8.65,,
Aditya Birla SL Savings Fund Reg (G),Aditya Birla Sun Life Mutual Fund,22389,27-11-2001,0.05,0.13,0.31,0.55,1.65,3.43,7.7,7.67,7.5,6.17,6.71,7.06,7.84,7.66,,7.42,3,Debt: Ultra Short Duration,562.5449,2.04,0.6,7.27,0.28,3.56,7.97,Kaustubh Gupta,0.59,0.52,6.75,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.59,13.03,2.47,25.91,57.39,,1.2,0.4372,9.7796
Aditya Birla SL Short Term Fund Reg (G),Aditya Birla Sun Life Mutual Fund,10963,09-05-2003,0.01,0.14,0.38,0.54,1.8,3.04,8.35,8.09,7.59,6.19,7.3,7.35,8.26,7.73,,7.27,4,Debt: Short Duration,48.8673,5.33,2.45,7.38,0.96,1.16,1.84,Kaustubh Gupta,3.57,2.93,7.11,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,1,13.54,,14.62,68.09,,3.75,1.4794,29.6143
Aditya Birla SL Silver E T F FOF Reg (G),Aditya Birla Sun Life Mutual Fund,532,02-02-2022,-2.73,2.74,4.42,-6.96,33.66,60.21,73.81,42.46,33.88,,,,,,,25.45,0,Others: FoFs Domestic,23.9186,-1.17,0.96,32.59,22.56,1.17,2.57,Priya Sridhar,,,,100,100,0,0,0,0,0,0.5% for redemption within 30 days,0,-0.36,0,0,100.36,,0.67,,,,,-0.36,,,
Aditya Birla SL Small Cap Fund Reg (G),Aditya Birla Sun Life Mutual Fund,4882,31-05-2007,0.82,0.77,0.7,2.8,5.69,7.21,3.88,13.58,19.3,21.96,14.73,13.62,13.21,,,12.5,1,Equity: Small Cap,88.2037,-2.03,0.91,18.57,17.67,0.7,1.06,Abhinav Khandelwal,,,,1000,100,2.3,15.66,76.69,3.56,27.73,1% for redemption within 90 days,94.65,5.35,0,0,0,,1.89,,,,,,4.99,14.7451,38.5656
Aditya Birla SL Special Opportunities Fund Reg (G),Aditya Birla Sun Life Mutual Fund,863,23-10-2020,1.25,3,3.4,3.92,10.03,12.11,15.94,22.68,19.76,20.06,,,,,,21.42,0,Equity: Thematic,26.76,2.32,0.99,18.2,13.49,0.88,1.47,Dhaval Gala,,,,500,100,51.87,12.54,32.41,3.52,26.95,1% for redemption within 30 days,96.82,3.18,0,0,0,,2.35,,,,,,3.18,,
Aditya Birla SL Transportation and Logistics Fund Reg (G),Aditya Birla Sun Life Mutual Fund,1591,17-11-2023,0.86,2.55,1.4,-0.26,9.08,13.46,13.37,23.5,,,,,,,,22.77,0,Equity: Thematic,15.26,,,,,,,Dhaval Gala,,,,500,100,59.87,16.18,22.86,5.3,0,1% for redemption within 365 days,98.91,1.09,0,0,0,,2.1,,,,,,1.09,,
Aditya Birla SL US Equity Passive FOF Reg (G),Aditya Birla Sun Life Mutual Fund,446,01-11-2021,-0.58,-1.64,-3.51,2.49,6.22,21.09,24.34,29.16,31.94,,,,,,,15.34,0,Equity: Global,17.9355,,,30.74,16.7,1.47,2.31,Dhaval Joshi,,,,0,0,99.69,0,0,0,0,0,0,0.31,0,99.69,0,,0.62,,,,,,0.31,,
Aditya Birla SL US Treasury 1-3 year Bond E T F FoF Reg (G),Aditya Birla Sun Life Mutual Fund,91,31-10-2023,-0.1,-0.05,0.08,0.69,2.26,6.03,10.05,8.2,,,,,,,,8.05,0,Debt: Short Duration,11.7576,,,,,,,Bhupesh Bameta,1.92,,3.67,100,100,0,0,0,0,0,0.25% for redemption within 30 days,0,100,0,0,0,,0.23,,,,,98.05,1.95,,
Aditya Birla SL US Treasury 3-10 year Bond E T F FoF Reg (G),Aditya Birla Sun Life Mutual Fund,182,31-10-2023,-0.16,-0.1,0.02,0.33,2.76,7.46,11.99,9.09,,,,,,,,9.56,0,Debt: Medium to Long Duration,12.1039,,,,,,,Bhupesh Bameta,5.72,,3.81,100,100,0,0,0,0,0,0.25% for redemption within 30 days,0,100,0,0,0,,0.2,,,,,99.03,0.97,,
Aditya Birla SL Value Fund Reg (G),Aditya Birla Sun Life Mutual Fund,6033,27-03-2008,0.68,1.34,1.65,3.76,7.15,5.58,4.33,15.15,20.43,21.85,14.05,13.06,13.72,,,15.58,1,Equity: Value,128.911,2.4,1.13,19.65,16.04,0.83,1.26,Kunal Sangoi,,,,1000,100,48.01,17.5,32.63,3.05,21.5,1% for redemption within 90 days,98.14,1.86,0,0,0,,1.87,,,,,,1.21,16.0533,39.7835
Angel One Gold E T F FoF (G),Angel One Mutual Fund,19,10-09-2025,-1.63,0.25,1.73,-5.76,0,,,,,,,,,,,59.12,0,Gold: Gold Funds,11.1992,,,,,,,Kewal Shah,,,,500,500,0,0,0,0,0,0,0,0.02,99.98,0,0,,0.68,,,,,,0.02,,
Angel One Nifty 50 Index Fund Reg (G),Angel One Mutual Fund,37,22-05-2025,0.39,1.71,1.14,1.24,5.59,6.19,,,,,,,,,,11.84,0,Equity: Index,10.6193,,,,,,,Kewal Shah,,,,1000,250,99.49,0,0.47,3.6,24.11,0,99.96,0.04,0,0,0,,0.7,,,,,,0.04,,
Angel One Nifty Total Market Index Fund Reg (G),Angel One Mutual Fund,51,28-02-2025,0.49,1.48,0.98,1.52,5.39,4.87,,,,,,,,,,27.46,0,Equity: Index,12.0458,,,,,,,Kewal Shah,,,,1000,1000,67.38,18.5,13.98,3.69,26,0,99.86,0.14,0,0,0,,1.03,,,,,,0.14,,
Axis Aggressive Hybrid Fund (G),Axis Mutual Fund,1581,09-08-2018,0.33,0.67,0.72,1.1,4.56,3.84,7.87,14.18,11.23,11.81,11.89,,,,,10.78,1,Hybrid: Aggressive,21.1,-2.29,0.87,11.09,9.91,0.49,0.82,Aditya Pagaria,8.08,3.8,7.4,0,100,56.89,8.13,9.36,3.9,25.84,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",74.38,23.87,0,0,1.75,,2.15,5.09,2.23,3.61,7.25,1.35,4.34,,
Axis Arbitrage Fund (G),Axis Mutual Fund,7873,14-08-2014,0.02,0.15,0.31,0.41,1.32,2.86,6.3,6.94,6.94,5.67,5.5,5.69,,,,5.9,3,Hybrid: Arbitrage,19.0765,0.66,0.13,6.7,0.39,1.11,1.7,Karthik Kumar,0.39,0.39,6.39,100,100,0,0,0,2.82,22.92,0.25% for redemption within 15 days,0,100,0,0,0,,1.02,0.95,,,14,10.08,0.61,0.6059,34.143
Axis Balanced Advantage Fund Reg (G),Axis Mutual Fund,3721,01-08-2017,0.23,0.7,0.89,1.31,4.09,3.4,8.15,16.04,14.18,12.47,10.78,,,,,9.73,4,Hybrid: Balanced Advantage,21.62,2.16,0.75,13.48,7.49,0.96,1.55,Devang Shah,4,3.14,6.81,100,100,51.1,4.69,3.25,3.65,24.14,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",59.03,39.84,0,0,1.13,,1.91,10.44,,7.04,14.9,0.78,5.92,,
Axis Banking & PSU Debt (G),Axis Mutual Fund,13417,08-06-2012,0.03,0.06,0.28,0.42,1.57,2.8,8.07,7.75,7.29,5.78,7.16,7.22,,,,7.65,4,Debt: Banking and PSU,2701.2705,5.3,2.58,7.14,0.99,0.88,1.49,Aditya Pagaria,3.56,2.91,6.68,1000,100,0,0,0,0,0,0,0,100,0,0,0,,0.62,12.77,,,83.25,,3.98,1.3586,27.686
Axis BSE Sensex Index Fund Reg (G),Axis Mutual Fund,47,27-02-2024,0.45,1.67,1.21,1.27,5.4,3.82,10.01,,,,,,,,,9.76,0,Equity: Index,11.7401,,,,,,,Karthik Kumar,,,,100,100,99.21,0,0.59,3.77,24.26,0.25% for redemption within 7 days,99.8,0.2,0,0,0,,0.7,,,,,,0.2,,
Axis Business Cycles Fund Reg (G),Axis Mutual Fund,2298,22-02-2023,0.6,1.75,0.9,0.9,3.12,4.72,8.15,16.77,,,,,,,,21.03,0,Equity: Thematic,16.86,,,,,,,Ashish Naik,,,,1000,100,61.55,13.31,21.45,4.41,31.03,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",96.31,3.69,0,0,0,,2.02,1.08,,,,,2.61,,
Axis Childrens Fund Reg (G),Axis Mutual Fund,928,08-12-2015,0.33,0.49,0.61,0.89,4.22,3.68,7.59,13.27,10.59,11.58,11.69,,,,,10.38,1,Solution: Children Equity,26.7237,-2.64,0.81,10.26,9.32,0.43,0.7,Devang Shah,6.16,4.8,7.09,1000,100,53.5,9.75,8.92,3.76,25.08,3% for redemption within 365 days2% for redemption after 366 days and within 730 days1% for redemption after 731 days and within 1095 days,72.17,27.28,0,0,0.55,,2.29,14.25,1.63,2.74,6.01,0.96,1.69,,
Axis Childrens Fund Reg (Lock in) (G),Axis Mutual Fund,928,08-12-2015,0.33,0.49,0.61,0.89,4.22,3.68,7.59,13.27,10.59,11.58,11.68,,,,,10.38,1,Solution: Children Equity,26.727,-2.64,0.81,10.26,9.32,0.43,0.7,Devang Shah,6.16,4.8,7.09,100,100,53.5,9.75,8.92,3.76,25.08,3% for redemption within 365 days2% for redemption after 366 days and within 730 days1% for redemption after 731 days and within 1095 days,72.17,27.28,0,0,0.55,,2.29,14.25,1.63,2.74,6.01,0.96,1.69,,
Axis Conservative Hybrid Fund (G),Axis Mutual Fund,273,16-07-2010,0.06,0.12,0.47,0.54,1.9,1.47,6.92,8.12,7.3,7.19,7.19,6.9,7.49,,,7.46,2,Hybrid: Conservative,30.4833,-2.17,0.93,7.14,3.61,0.24,0.43,Jayesh Sundar,6.15,4.7,7.08,100,100,18.16,0.96,0.46,3.19,21.09,"For units in excess of 10% of the investment, 1% will be charged for redemption within 30 days",19.58,80.42,0,0,0,,2.2,42.05,5.57,8.99,15,0.65,8.16,2.7366,42.069
Axis Consumption Fund Reg (G),Axis Mutual Fund,3880,12-09-2024,0.62,1.66,0,-2.01,3.17,4.94,5.28,,,,,,,,,-1.95,0,Equity: Thematic,9.77,,,,,,,Hitesh Das,,,,100,100,80.83,10,8.95,8.34,41.23,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months",99.78,0.22,0,0,0,,1.88,,,,,,0.22,,
Axis Corporate Bond Fund (G),Axis Mutual Fund,9872,13-07-2017,0.02,0.04,0.28,0.4,1.65,2.82,8.59,8.25,7.69,6.09,6.97,,,,,6.95,4,Debt: Corporate Bond,17.5323,0.88,0.57,7.54,1.13,1.13,2.01,Devang Shah,4.25,3.45,6.91,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.95,15.07,,,80.28,,4.65,3.0963,23.9669
Axis Credit Risk Fund (G),Axis Mutual Fund,367,15-07-2014,0.04,0.1,0.4,0.61,2.31,3.86,8.92,8.44,7.93,6.79,6.7,6.82,,,,7.24,4,Debt: Credit Risk,22.1066,4.31,1.68,7.7,0.68,2.11,4.6,Akhil Bipin Thakker,2.97,2.54,8.07,100,100,0,0,0,0,0,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",0,97.52,0,0,2.48,,1.57,6.28,26.28,48.75,9.46,,6.75,2.7269,24.3802
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund Reg (G),Axis Mutual Fund,67,24-01-2023,0.08,0.15,0.26,0.48,1.48,2.74,8.31,8.41,,,,,,,,7.86,0,Debt: Medium to Long Duration,12.3757,,,,,,,Hardik Shah,2.43,2.19,6.32,1000,1000,0,0,0,0,0,0,0,100,0,0,0,,0.37,97.56,,,,,2.44,,
